# version=2025NOV01

Rom;Genre;Year;Manufacturer;System;Clone;AKNF;Buttons;Controls;Mature;Players;Monitor;Slow;Notes
boogwing;Shooter / Misc. Horizontal;1992;Data East Corporation;Data East 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
boomrang;Shooter / Walking;1983;Data East Corporation;Data East 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bootcamp;Sports / Track & Field;1987;Konami;Konami;yes;;2;trackball;;2P sim;CRT 15Khz;;
boothill;Shooter / Versus;1977;Midway;Midway 8080 B/W;no;;1;paddle;;2P sim;CRT 15Khz;;
borench;Maze / Collect;1990;Sega;Sega C2;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
borntofi;Shooter / Gun;;International Games;Electronic Devices 68000;no;;2;trackball;;2P sim;CRT 15Khz;;
bosco;Shooter / Field;1981;Namco;Namco Galaga;no;true;1;joystick (8-way);;2P alt;CRT 15Khz;;
boscomd;Shooter / Field;1981;[Namco] (Midway license);Namco Galaga;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
boscomdo;Shooter / Field;1981;[Namco] (Midway license);Namco Galaga;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
boscoo;;1981;Namco;Namco Galaga;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
boscoo2;;1981;Namco;Namco Galaga;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
botanic;Maze / Collect;1984;Valadon Automation (Itisa license);Valadon/Itisa Z80;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
botss;Shooter / 3rd Person;1992;Microprose;Microprose 3D;no;;;joystick (8-way);;1P;CRT 31Khz;;
bottom9;Sports / Baseball;1989;Konami;Konami;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
bottom9n;Sports / Baseball;1989;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
bouldash;Maze / Digging;1990;Data East Corporation (licensed from First Star);Data East 68000;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
bouldshj;;1990;Data East Corporation (licensed from First Star);Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bounty;Driving / Boat;1982;Orca;Orca Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bowler;Sports / Bowling;1978;Midway;Midway 8080 B/W;no;;2;trackball;;4P alt;CRT 15Khz;;
bowlrama;Sports / Bowling;1991;P&P Marketing;Incredible Technologies 68000;no;;2;trackball;;4P alt;CRT 15Khz;;
boxer;Sports / Boxing;1978;Atari;Atari 6502;no;;;paddle;;2P sim;CRT 15Khz;;
boxingb;Shooter / Field;1981;Cinematronics;Cinematronics;no;;3;dial;;2P alt;;;
boxyboy;Maze / Blocks;1990;Namco;Namco System 1;no;;3;joystick (8-way);;1P;CRT 15Khz;;
bpanicdx;;2025;Blastar;SNK Neo Geo;no;;4;joystick (8-way);;;;;
bradley;Shooter / Tank Driving;1980;Atari;Atari Vector;no;;10;joystick (analog);;1P;;;
brain;Shooter / Flying Horizontal;1986;Coreland / Sega;Sega System 1;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
brapboys;Fighter / 2.5D;1992;Kaneko;Kaneko 68000;no;true;2;joystick (8-way);;3P sim;CRT 15Khz;;
brapboysj;;1992;Kaneko;Kaneko 68000;yes;true;2;joystick (8-way);;;CRT 15Khz;;
brdrlinb;Shooter / Driving Vertical;1981;bootleg;Sega Vic Dual;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
brdrline;Shooter / Driving Vertical;1981;Sega;Sega Vic Dual;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
breakers;Fighter / Versus;1996;Visco;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
breakrev;Fighter / Versus;1998;Visco;SNK Neo Geo;yes;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
breywood;Maze / Shooter Large;1986;Data East Corporation;Data East 8-bit;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
brickyrd;Maze / Surround;1976;RamTek;Ramtek 8080;yes;;;joystick (8-way);;4P sim;CRT 15Khz;;
brickzn;Ball & Paddle / Breakout;1992;SunA;SunA Z80;no;;2;trackball;;2P sim;CRT 15Khz;;
brickzn3;;1992;SunA;SunA Z80;yes;;2;trackball;;???;CRT 15Khz;;
brival;Fighter / Versus;1992;Sega;Sega System 32;no;;6;joystick (8-way);;2P sim;CRT 15Khz;;
brivalj;Fighter / Versus;1992;Sega;Sega System 32;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
brix;Maze / Cross;1982;Cinematronics + Advanced Microcomputer Systems;Cinematronics 6502;yes;;1;vertical joystick (2-way);;2P alt;CRT 15Khz;;
brkthru;Shooter / Driving Horizontal;1986;Data East USA;Data East 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
brkthruj;Shooter / Driving Horizontal;1986;Data East Corporation;Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bronx;Shooter / Gun;1986;bootleg;Taito 8-bit;yes;;1;lightgun;;1P;CRT 15Khz;;
brubber;Driving / Race;1982;Data East;Data East 8-bit;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
brutforc;Fighter / Field;1991;Leland Corp.;Leland;no;;2;joystick (8-way);;3P sim;CRT 15Khz;;
brvblade;Shooter / Flying Vertical;2000;Eighting/Raizing;Sony ZN;no;true;6;joystick (8-way);;2P sim;CRT 31Khz;;
bshark;Shooter / Flying 1st Person;1989;Taito America Corporation;Taito Z-System;no;;6;joystick (analog);;1P;CRT 15Khz;;
bsharkj;Shooter / Flying 1st Person;1989;Taito Corporation;Taito Z-System;yes;;6;joystick (analog);;1P;CRT 15Khz;;
bsharkjjs;Shooter / Flying 1st Person;1989;Taito Corporation;Taito Z-System;yes;;2;joystick (8-way);;1P;CRT 15Khz;;
bsktball;Sports / Basketball;1979;Atari;Atari 6502 discrete;no;;1;trackball;;2P sim;CRT 15Khz;;
bssoccer;Sports / Soccer;1996;SunA;SunA 68000;no;true;3;joystick (8-way);;4P sim;CRT 15Khz;;
bstars;Sports / Baseball;1990;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
bstars2;Sports / Baseball;1992;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
btchamp;Sports / Multiplay;1996;Konami;Konami GV;no;;3;trackball;;2P sim;CRT 31Khz;;
btime;Platform / Run Jump;1982;Data East Corporation;Data East 8-bit;no;true;1;joystick (4-way);;2P alt;CRT 15Khz;;
btime2;Platform / Run Jump;1982;Data East Corporation;Data East 8-bit;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
btimem;Platform / Run Jump;1982;Data East (Bally Midway license);Data East 8-bit;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
btlecity;Maze / Shooter Small;1985;Namco;Nintendo VS. System;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
btlfield;Shooter / Walking;1987;[Alpha Denshi Co.] (SNK license);Alpha Denshi 68000;yes;;2;dial;;2P sim;CRT 15Khz;;
btlfildb;;1987;bootleg;Alpha Denshi 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
btlkroad;Fighter / Versus;1994;Psikyo;Psikyo 68000;no;;6;joystick (8-way);;2P sim;CRT 15Khz;;
btltryst;Fighter / Versus;1998;Konami;Konami M2;no;;;;;2P sim;CRT 15Khz;;
btoads;Fighter / 2.5D;1994;Rare;Rare arcade;no;true;2;joystick (8-way);;3P sim;CRT 15Khz;;
bubblem;Platform / Run Jump;1995;Taito Corporation Japan;Taito F3 System;no;true;4;dial;;2P sim;CRT 15Khz;;
bubblemj;Platform / Run Jump;1995;Taito Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
bubbles;Maze / Collect;1982;Williams;Williams arcade hardware;no;true;;joystick (8-way);;2P alt;CRT 15Khz;;
bubblesp;Maze / Collect;1982;Williams;Williams arcade hardware;yes;;;joystick (8-way);;2P alt;CRT 15Khz;;
bubblesr;Maze / Collect;1982;Williams;Williams arcade hardware;yes;;;joystick (8-way);;2P alt;CRT 15Khz;;
bubbletr;Shooter / Gun;1992;Namco;Namco System 2;no;;1;lightgun;;2P sim;CRT 15Khz;;
bubbobr1;;1986;Taito America Corporation (Romstar license);Taito 8-bit;yes;;2;joystick (2-way);;2P sim;CRT 15Khz;;
bubl2000;Puzzle / Toss * Mature *;1998;Tuning;NMK 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
bublbob1;;1986;Taito Corporation;Taito 8-bit;yes;;2;joystick (2-way);;2P sim;CRT 15Khz;;
bublbob2;Platform / Run Jump;1994;Taito Corporation Japan;Taito F3 System;no;;4;dial;;2P sim;CRT 15Khz;YES;
bublbob2p;Platform / Run Jump;1994;Taito Corporation Japan;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
bublbobl;Platform / Run Jump;1986;Taito Corporation;Taito 8-bit;no;true;2;joystick (2-way);;2P sim;CRT 15Khz;;
bublboblu;;2012;bootleg;Taito 8-bit;yes;;2;joystick (2-way);;;;;
bublbobr;;1986;Taito America Corporation (Romstar license);Taito 8-bit;yes;;2;joystick (2-way);;2P sim;CRT 15Khz;;
bublcave;Platform / Run Jump;2013;bootleg;Taito 8-bit;yes;;2;joystick (2-way);;2P sim;CRT 15Khz;;
bubsympe;;1994;Taito Corporation Japan;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
bubsymph;;1994;Taito Corporation;Taito F3 System;yes;true;4;dial;;2P sim;CRT 15Khz;;
bubsympu;;1994;Taito America Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
buccanra;;1989;Duintronic;Irem M72;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
buccanrs;Fighter / 2D;1989;Duintronic;Irem M72;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
buckrog;Shooter / Flying (chase view);1982;Sega;Sega Turbo;no;true;3;joystick (8-way);;1P;CRT 15Khz;;
buckrogn;Shooter / Flying (chase view);1982;Sega;Sega Turbo;yes;;3;joystick (8-way);;1P;CRT 15Khz;;
bucky;Shooter / Walking;1992;Konami;Konami;no;true;3;joystick (8-way);;4P sim;CRT 15Khz;;
buckyua;;1992;Konami;Konami;yes;;3;joystick (8-way);;4P sim;CRT 15Khz;;
buggyb1;;1986;Tatsumi;Tatsumi TX-1 3D;no;;1;dial;;1P;CRT 15Khz;;
buggyboy;Driving / Race (chase view);1985;Tatsumi;Tatsumi TX-1 3D;yes;;1;dial;;1P;CRT 15Khz;;
buggychl;Driving / Race (chase view);1984;Taito Corporation;Taito 8-bit;no;;2;dial;;1P;CRT 15Khz;;
buggycht;;1984;Taito Corporation (Tecfri license);Taito 8-bit;yes;;2;dial;;1P;CRT 15Khz;;
bullet;Shooter / Walking;1987;Sega;Sega System 16B;no;;;double joystick (8-way);;3P sim;CRT 15Khz;;
bullfgt;Sports / Bull Fighting;1984;Coreland / Sega;Sega System 1;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
bullfgtr;Sports / Hockey;1984;Alpha Denshi Co.;Alpha Denshi 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
bullfgts;;1984;Alpha Denshi Co. (Sega license);Alpha Denshi 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
bullsdrt;Sports / Darts;1985;Shinkai Inc. (Magic Eletronics Inc. licence);Atari Vector;no;;1;trackball;;2P alt;CRT 15Khz;;
buraiken;Fighter / Vertical;1987;Capcom;Capcom pre-CPS;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
burglarx;Maze / Collect;1997;Unico;Unico 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
buriki;Fighter / Versus;1999;SNK;SNK Hyper Neo Geo 64;no;;4;joystick (8-way);;???;CRT 31Khz;;
burnforc;Shooter / Driving (chase view);1989;Namco;Namco System 2;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
burnfrco;;1989;Namco;Namco System 2;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
burningf;Fighter / 2.5D;1991;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
burningh;;1991;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
butasan;Shooter / Walking;1987;[NMK] (Jaleco license);Jaleco Z80;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
bwcasino;Gambling / Cards;1983;Epos Corporation;Namco Pac-Man;no;;6;;;2P alt;CRT 15Khz;;
bwidow;Shooter / Field;1982;Atari;Atari Vector;no;true;;double joystick (8-way);;2P alt;;;
bwing;;1984;Data East Corporation;Data East 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bwings;Shooter / Flying Vertical;1984;Data East Corporation;Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
bzone;Shooter / Tank Driving;1980;Atari;Atari Vector;no;true;3;vertical double joystick (2-way);;1P;;;
bzone2;;1980;Atari;Atari Vector;yes;;3;vertical double joystick (2-way);;1P;;;
bzonec;Shooter / Tank Driving;1980;Atari;Atari Vector;yes;;3;vertical double joystick (2-way);;1P;;;
cabal;Shooter / 3rd Person;1988;Tad Corporation;Seibu 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
cabala;Shooter / 3rd Person;1989;Tad Corporation (Alpha Trading license);Seibu 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cabalbl;Shooter / 3rd Person;1988;[Tad Corporation] (Red Corporation bootleg);Seibu 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cabalus;Shooter / 3rd Person;1988;Tad (Fabtek license);Seibu 68000;yes;true;2;trackball;;2P sim;CRT 15Khz;;
cabalus2;Shooter / 3rd Person;1988;Tad (Fabtek license);Seibu 68000;yes;true;2;trackball;;2P sim;CRT 15Khz;;
cabaret;Gambling / Cards * Mature *;;IGS;IGS 68000;no;;4;joystick (8-way);;???;CRT 15Khz;;
cachat;Puzzle / Drop;1993;Taito Corporation;Taito L-System;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cadanglr;Sports / Fishing;1982;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cadash;Platform / Fighter Scrolling;1989;Taito Corporation Japan;Taito F2;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
cadashf;Platform / Fighter Scrolling;1989;Taito Corporation Japan;Taito F2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cadashi;Platform / Fighter Scrolling;1989;Taito Corporation Japan;Taito F2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cadashj;Platform / Fighter Scrolling;1989;Taito Corporation;Taito F2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cadashu;Platform / Fighter Scrolling;1989;Taito America Corporation;Taito F2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cairblad;Shooter / Flying Vertical;1999;Sammy;SSV;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
calibr50;Shooter / Walking;1989;Athena / Seta;Seta 1st Gen;no;true;2;dial;;2P sim;CRT 15Khz;;
calipso;Maze / Shooter Small;1982;[Stern] (Tago license);Galaxian Z80;no;;1;joystick (8-way);;2P sim;CRT 15Khz;;
calorie;Maze / Ladders;1986;Sega;Tecmo Z80;no;;2;joystick (4-way);;2P alt;CRT 15Khz;;
calorieb;Maze / Ladders;1986;bootleg;Tecmo Z80;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
calspeda;;1998;Atari Games;Midway Seattle;yes;;5;paddle;;1P;CRT 31Khz;;
calspeed;Driving / Race (chase view);1998;Atari Games;Midway Seattle;no;;5;paddle;;1P;CRT 31Khz;;
cameltrj;;1989;Taito Corporation;Taito F2 System;yes;;1;dial;;2P alt;CRT 15Khz;;
cameltry;Puzzle / Maze;1989;Taito America Corporation;Taito F2 System;no;;1;dial;;2P alt;CRT 15Khz;;
camltrua;;1989;Taito America Corporation;Taito F2 System;yes;;1;dial;;2P alt;CRT 15Khz;;
candance;Platform / Fighter Scrolling;1996;Mitchell (Atlus License);Data East 16-bit;yes;;3;joystick (8-way);;1P;CRT 15Khz;;
cannball;Puzzle / Toss * Mature *;1995;Yun Sung / Soft Vision;Yun Sung 8-bit;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cannonb;Ball & Paddle / Breakout;1985;Soft;Nichibutsu Z80;no;;1;joystick (4-way);;6P alt;CRT 15Khz;;
cannonb2;Ball & Paddle / Breakout;1985;TV Game Gruenberg;Nichibutsu Z80;yes;;1;joystick (4-way);;6P alt;CRT 15Khz;;
canvas;Puzzle / Reconstruction * Mature *;1985;SNK;SNK early 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
canyon;Shooter / Gallery;1977;Atari;Atari discrete;no;;7;;;2P sim;CRT 15Khz;;
canyonp;Shooter / Gallery;1977;Atari;Atari discrete;yes;;7;;;2P sim;CRT 15Khz;;
capbowl;Sports / Bowling;1988;Incredible Technologies;Incredible Technologies 68000;no;;2;trackball;;4P alt;CRT 15Khz;;
capbowl2;Sports / Bowling;1988;Incredible Technologies;Incredible Technologies 68000;yes;;2;trackball;;4P alt;CRT 15Khz;;
capbowl3;Sports / Bowling;1988;Incredible Technologies;Incredible Technologies 68000;yes;;2;trackball;;4P alt;CRT 15Khz;;
capbowl4;Sports / Bowling;1988;Incredible Technologies;Incredible Technologies 68000;yes;;2;trackball;;4P alt;CRT 15Khz;;
capitol;Shooter / Gallery;1981;Universal Video Spiel;Phoenix;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
captaven;Fighter / 2.5D;1991;Data East Corporation;Data East 32-bit;no;true;2;joystick (8-way);;4P sim;CRT 15Khz;;
captavna;;1991;Data East Corporation;Data East 32-bit;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captavne;;1991;Data East Corporation;Data East 32-bit;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captavnj;;1991;Data East Corporation;Data East 32-bit;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captavnu;;1991;Data East Corporation;Data East 32-bit;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captavuu;;1991;Data East Corporation;Data East 32-bit;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captcomj;;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
captcomm;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;no;true;2;joystick (8-way);;4P sim;CRT 15Khz;;
captcomu;;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
caractn;Driving / Race;1982;bootleg;Data East 8-bit;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
caravan;;2019;Fullset;SNK Neo Geo;no;;4;joystick (8-way);;;;;
cardline;Gambling / Cards;;Veltmeijer;Custom gambling Z80;no;;2;joystick (8-way);;1P;CRT 15Khz;;
carjmbre;Driving / Race;1983;Omori Electric Co., Ltd.;Omori Z80;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
carnevil;Shooter / Gun;1998;Midway Games;Midway Seattle;no;;2;lightgun;;2P sim;CRT 31Khz;;
carnival;Shooter / Gallery;1980;Sega;Sega Vic Dual;no;true;1;joystick (2-way);;2P alt;CRT 15Khz;;
carnvckt;;1980;Sega;Sega Vic Dual;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
carpolo;Sports / Misc.;1977;Exidy;Exidy 6502;no;;3;dial;;4P sim;CRT 15Khz;;
cartfury;Driving / Race (chase view);2000;Midway Games;Midway Vegas;no;;3;paddle;;1P;CRT 31Khz;;
cascade;Ball & Paddle / Breakout;1978;Sidam;Atari discrete;yes;;1;paddle;;2P alt;CRT 15Khz;;
castfant;Shooter / Gallery;1981;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
catapult;Maze / Defeat Enemies;1982;Epos Corporation;Epos Z80;no;;2;joystick (8-way);;1P;CRT 15Khz;;
catch22;Shooter / Gun;1985;Exidy;Exidy 440;yes;;1;lightgun;;1P;CRT 15Khz;;
caterplr;Shooter / Gallery;1980;bootleg;Atari Vector;yes;;1;trackball;;2P alt;CRT 15Khz;;
catmousa;;1982;Zaccaria;Zaccaria 2650;yes;;1;joystick (2-way);;???;CRT 15Khz;;
catnmous;Shooter / 3rd Person;1982;Zaccaria;Zaccaria 2650;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
catt;Platform / Shooter Scrolling;1993;Wintechno;Custom Z80;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
cavelon;Maze / Shooter Large;1983;Jetsoft;Konami Scramble;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
cavenger;Shooter / Flying Horizontal;1981;Universal;Universal Z80;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
cawing;Shooter / Flying Horizontal;1990;Capcom;Capcom CPS-1;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
cawingj;Shooter / Flying Horizontal;1990;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cawingr1;Shooter / Flying Horizontal;1990;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cawingu;Shooter / Flying Horizontal;1990;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
cbaj;Sports / Skiing;1998;Tecmo;Sony ZN;no;;6;joystick (8-way);;1P;CRT 31Khz;YES;
cball;Ball & Paddle / Jump and Touch;1976;Atari;Atari System 1;no;;2;;;2P alt;CRT 15Khz;;
cbarrel;;2024;Neo Byte Force Ltd;SNK Neo Geo;no;;4;joystick (8-way);;;;;
cbasebal;Sports / Baseball;1989;Capcom;Capcom 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
cbdash;Maze / Digging;1985;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cbnj;Driving / Race;1982;Data East Corporation;Data East DECO Cassette;yes;;2;joystick (analog);;2P alt;CRT 15Khz;;
cbombers;Driving / Race (chase view);1994;Taito Corporation Japan;Taito F3;no;;5;joystick (analog);;1P;CRT 15Khz;;
cbtime;Platform / Run Jump;1983;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cburnrb2;;1982;Data East Corporation;Data East DECO Cassette;yes;;2;joystick (analog);;2P alt;CRT 15Khz;;
cburnrub;Driving / Race;1982;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cbuster;Platform / Fighter Scrolling;1990;Data East Corporation;Data East 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cbusterj;Platform / Fighter Scrolling;1990;Data East Corporation;Data East 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cbusterw;Platform / Fighter Scrolling;1990;Data East Corporation;Data East 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
ccasino;Tabletop / Mahjong * Mature *;1987;V-System Co.;Video System 68000;no;;;;;1P;CRT 15Khz;;
ccastle2;;1983;Atari;Atari System 1;yes;;1;trackball;;2P alt;CRT 15Khz;;
ccastle3;;1983;Atari;Atari System 1;yes;;1;trackball;;2P alt;CRT 15Khz;;
ccastlej;;1983;Atari;Atari System 1;yes;;1;joystick (8-way);;;CRT 15Khz;;
ccastles;Maze / Collect;1983;Atari;Atari System 1;no;true;1;trackball;;2P alt;CRT 15Khz;;
ccboot;Climbing / Building;1980;bootleg;Nichibutsu Z80;yes;;;double joystick (8-way);;2P alt;CRT 15Khz;;
ccboot2;Climbing / Building;1980;bootleg;Nichibutsu Z80;yes;;;double joystick (8-way);;2P alt;CRT 15Khz;;
cchasm;Shooter / Field;1983;Cinematronics / GCE;Cinematronics vector;no;;3;dial;;2P alt;;;
cchasm1;Shooter / Field;1983;Cinematronics / GCE;Cinematronics vector;yes;;3;dial;;2P alt;;;
cclimber;Climbing / Building;1980;Nichibutsu;Nichibutsu Z80;no;;;double joystick (8-way);;2P alt;CRT 15Khz;;
cclimbr2;Climbing / Building;1988;Nichibutsu;Nichibutsu 68000;no;;;double joystick (8-way);;2P alt;CRT 15Khz;;
cclimbrj;;1980;Nichibutsu;Nichibutsu Z80;yes;;;double joystick (8-way);;2P alt;CRT 15Khz;;
cclmbr2a;;1988;Nichibutsu;Nichibutsu 68000;yes;;;double joystick (8-way);;2P alt;CRT 15Khz;;
cdiscon1;Puzzle / Outline;1982;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
centipd2;;1980;Atari;Atari Vector;yes;;1;trackball;;2P alt;CRT 15Khz;;
centipdb;Shooter / Gallery;1980;bootleg;Atari Vector;yes;;1;trackball;;2P alt;CRT 15Khz;;
centiped;Shooter / Gallery;1980;Atari;Atari Vector;no;true;1;trackball;;1P;CRT 15Khz;;
centtime;;1980;Atari;Atari Vector;yes;;1;trackball;;1P;CRT 15Khz;;
cerberus;Shooter / Field;1985;Cinematronics;Leland;no;;2;dial;;2P sim;CRT 15Khz;;
cexplore;Shooter / Flying Vertical;1982;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cfghtice;Sports / Hockey;1984;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cfishing;Sports / Fishing;1982;Data East Corporation;Data East DECO Cassette;yes;;2;joystick (analog);;2P alt;CRT 15Khz;;
cflyball;Ball & Paddle / Breakout;1985;Data East Corporation;Data East DECO Cassette;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
cgangpzj;;1992;Namco;Namco NA-1;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cgangpzl;Puzzle / Drop;1992;Namco;Namco NA-1;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
cgraplop;Ball & Paddle / Breakout;1983;Data East Corporation;Data East DECO Cassette;no;true;2;joystick (analog);;2P alt;CRT 15Khz;;
cgraplp2;;1983;Data East Corporation;Data East DECO Cassette;yes;;2;joystick (analog);;2P alt;CRT 15Khz;;
chainrec;Puzzle / Toss;1995;Data East;Data East 16-bit;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
chaknpop;Platform / Run Jump;1983;Taito Corporation;Taito 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
challeng;Shooter / Gallery;1981;GamePlan (Centuri license);GamePlan 6502;no;;3;joystick (2-way);;2P alt;CRT 15Khz;;
chameleo;Platform / Run Jump;1983;Jaleco;SNK early 8-bit;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
champb2a;;1983;Alpha Denshi Co.;Alpha Denshi 68000;yes;;4;joystick (8-way);;???;CRT 15Khz;;
champbas;Sports / Baseball;1983;Sega;Alpha Denshi 68000;no;;4;joystick (8-way);;2P alt;CRT 15Khz;;
champbb2;Sports / Baseball;1983;Sega;Alpha Denshi 68000;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
champbbj;;1983;Alpha Denshi Co.;Alpha Denshi 68000;yes;;4;joystick (8-way);;2P alt;CRT 15Khz;;
champbja;;1983;Alpha Denshi Co.;Alpha Denshi 68000;yes;;4;joystick (8-way);;2P alt;CRT 15Khz;;
champbwl;Sports / Bowling;1989;Seta / Romstar Inc.;Seta 68000;no;;3;trackball;;4P alt;CRT 15Khz;;
champwr;Sports / Wrestling;1989;Taito Corporation Japan;Taito L-System;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
